Date,Overall,Fairfield,Hartford,Litchfield,Middlesex,New Haven,New London,Tolland,Windham
2020-03-06,0,0,0,0,0,0,0,0,0
2020-03-07,0,0,0,0,0,0,0,0,0
2020-03-08,1,0,0,0,0,0,0,0,0
2020-03-09,2,1,0,0,0,0,0,0,0
2020-03-10,2,1,0,1,0,0,0,0,0
2020-03-11,3,2,0,1,0,0,0,0,0
2020-03-12,6,4,0,1,0,0,0,0,0
2020-03-13,11,8,0,3,0,0,0,0,0
2020-03-14,20,15,1,3,0,1,0,0,0
2020-03-15,26,16,3,4,0,3,0,0,0
2020-03-16,41,29,4,4,0,4,0,0,0
2020-03-17,68,48,7,5,0,8,0,0,0
2020-03-18,68,48,7,5,0,8,0,0,0
2020-03-19,159,102,18,7,3,23,0,4,2
2020-03-20,194,122,29,8,5,23,1,4,2
2020-03-21,224,140,35,11,6,24,1,5,2
2020-03-22,328,208,54,12,6,29,3,14,2
2020-03-23,415,270,61,13,8,41,4,16,2
2020-03-24,618,384,88,22,8,89,6,19,2
2020-03-25,875,546,116,33,15,127,9,27,2
2020-03-26,1012,607,138,44,18,156,13,33,3
2020-03-27,1291,752,189,52,25,222,15,33,3
2020-03-28,1524,908,228,65,28,236,19,37,3
2020-03-29,1993,1245,276,87,38,280,20,40,7
2020-03-30,2571,1445,330,113,50,373,24,50,10
2020-03-31,3128,1870,393,121,56,517,27,56,11
2020-04-01,3557,1986,469,131,66,611,29,61,19
2020-04-02,3824,2132,539,141,74,647,29,67,21
2020-04-03,4914,2716,679,173,91,891,40,79,27
2020-04-04,5276,2824,726,182,100,1024,57,91,31
2020-04-05,5675,3050,751,197,110,1162,57,94,32
2020-04-06,6906,3719,882,230,135,1468,65,103,40
2020-04-07,7781,4136,1045,255,150,1664,85,111,43
2020-04-08,8781,4417,1290,292,174,1945,120,128,49
2020-04-09,9784,4882,1471,315,205,2183,139,145,52
2020-04-10,10538,5180,1615,346,240,2383,156,152,59
2020-04-11,11510,5407,1832,388,290,2751,185,171,66
2020-04-12,12035,5534,1914,403,299,2946,190,182,66
2020-04-13,13381,6004,2243,446,339,3358,222,195,83
2020-04-14,13989,6213,2370,460,355,3543,227,201,87
