Date,Overall,Fairfield,Hartford,Litchfield,Middlesex,New Haven,New London,Tolland,Windham
2020-03-06,0,0,0,0,0,0,0,0,0
2020-03-07,0,0,0,0,0,0,0,0,0
2020-03-08,0,0,0,0,0,0,0,0,0
2020-03-09,0,0,0,0,0,0,0,0,0
2020-03-10,0,0,0,0,0,0,0,0,0
2020-03-11,0,0,0,0,0,0,0,0,0
2020-03-12,0,0,0,0,0,0,0,0,0
2020-03-13,0,0,0,0,0,0,0,0,0
2020-03-14,0,0,0,0,0,0,0,0,0
2020-03-15,0,0,0,0,0,0,0,0,0
2020-03-16,0,0,0,0,0,0,0,0,0
2020-03-17,0,0,0,0,0,0,0,0,0
2020-03-18,0,0,0,0,0,0,0,0,0
2020-03-19,0,0,0,0,0,0,0,0,0
2020-03-20,0,0,0,,0,0,0,0,0
2020-03-21,5,4,0,0,0,0,0,1,0
2020-03-22,8,5,1,0,0,0,0,2,0
2020-03-23,10,6,2,0,0,0,0,2,0
2020-03-24,12,7,2,0,0,0,0,3,0
2020-03-25,19,12,2,0,0,2,0,3,0
2020-03-26,21,13,2,0,1,2,0,3,0
2020-03-27,27,15,2,0,1,6,0,3,0
2020-03-28,33,20,2,0,1,6,0,4,0
2020-03-29,34,21,2,0,1,6,0,4,0
2020-03-30,36,21,3,1,1,6,0,4,0
2020-03-31,69,38,7,1,1,12,1,7,0
2020-04-01,85,46,11,1,2,15,1,7,0
2020-04-02,112,63,13,2,3,17,1,10,0
2020-04-03,131,75,18,4,2,18,3,10,0
2020-04-04,165,86,26,5,4,29,3,10,1
2020-04-05,189,96,26,6,5,36,4,11,1
2020-04-06,206,101,31,8,7,41,4,13,1
2020-04-07,277,132,48,9,7,60,4,13,1
2020-04-08,335,155,68,12,9,70,5,13,1
2020-04-09,380,178,75,13,14,78,6,13,1
2020-04-10,448,203,88,16,17,98,7,14,1
2020-04-11,494,220,101,20,18,107,7,15,1
2020-04-12,554,248,116,24,18,119,7,17,1
2020-04-13,602,262,133,24,19,135,7,17,1
2020-04-14,671,287,153,29,21,151,7,18,1
