Date,Overall,Fairfield,Hartford,Litchfield,Middlesex,New Haven,New London,Tolland,Windham
2020-03-06,0,0,0,0,0,0,0,0,0
2020-03-07,0,0,0,0,0,0,0,0,0
2020-03-08,0,0,0,0,0,0,0,0,0
2020-03-09,0,0,0,0,0,0,0,0,0
2020-03-10,0,0,0,0,0,0,0,0,0
2020-03-11,0,0,0,0,0,0,0,0,0
2020-03-12,0,0,0,0,0,0,0,0,0
2020-03-13,0,0,0,0,0,0,0,0,0
2020-03-14,0,0,0,0,0,0,0,0,0
2020-03-15,0,0,0,0,0,0,0,0,0
2020-03-16,0,0,0,0,0,0,0,0,0
2020-03-17,0,0,0,0,0,0,0,0,0
2020-03-18,0,0,0,0,0,0,0,0,0
2020-03-19,0,0,0,0,0,0,0,0,0
2020-03-20,0,0,0,0,0,0,0,0,0
2020-03-21,43,15,12,2,3,9,0,2,0
2020-03-22,51,20,13,3,3,9,1,2,0
2020-03-23,54,20,13,2,4,12,1,2,0
2020-03-24,71,23,17,3,4,19,1,4,0
2020-03-25,113,47,24,3,4,28,2,5,0
2020-03-26,125,49,27,3,5,34,2,5,0
2020-03-27,173,68,36,9,5,46,2,7,0
2020-03-28,205,88,41,12,5,50,2,7,0
2020-03-29,404,189,67,5,1,137,4,0,1
2020-03-30,517,230,96,7,1,176,5,2,0
2020-03-31,608,275,110,7,5,202,8,1,0
2020-04-01,766,359,126,11,8,251,10,1,0
2020-04-02,827,381,136,11,11,274,9,2,3
2020-04-03,909,409,166,14,12,293,9,3,3
2020-04-04,1033,475,184,15,19,324,10,3,3
2020-04-05,1142,531,189,15,19,372,10,3,3
2020-04-05,1221,572,213,15,22,384,10,3,2
