Town,Cases
Andover,0
Ansonia,30
Ashford,4
Avon,11
Barkhamsted,1
Beacon Falls,9
Berlin,16
Bethany,3
Bethel,52
Bethlehem,4
Bloomfield,25
Bolton,4
Bozrah,1
Branford,28
Bridgeport,145
Bridgewater,3
Bristol,24
Brookfield,72
Brooklyn,2
Burlington,6
Canaan,0
Canterbury,0
Canton,2
Chaplin,0
Cheshire,26
Chester,2
Clinton,7
Colchester,4
Colebrook,0
Columbia,2
Cornwall,1
Coventry,5
Cromwell,9
Danbury,402
Darien,91
Deep River,4
Derby,18
Durham,4
East Granby,2
East Haddam,5
East Hampton,4
East Hartford,34
East Haven,31
East Lyme,3
East Windsor,3
Eastford,1
Easton,6
Ellington,7
Enfield,41
Essex,2
Fairfield,62
Farmington,20
Franklin,1
Glastonbury,18
Goshen,1
Granby,1
Greenwich,189
Griswold,1
Groton,3
Guilford,9
Haddam,2
Hamden,61
Hampton,0
Hartford,125
Hartland,0
Harwinton,5
Hebron,4
Kent,5
Killingly,2
Killingworth,1
Lebanon,2
Ledyard,2
Lisbon,2
Litchfield,6
Lyme,1
Madison,14
Manchester,51
Mansfield,2
Marlborough,3
Meriden,40
Middlebury,10
Middlefield,2
Middletown,35
Milford,56
Monroe,10
Montville,2
Morris,3
Naugatuck,20
New Britain,48
New Canaan,61
New Fairfield,47
New Hartford,3
New Haven,174
New London,6
New Milford,50
Newington,32
Newtown,48
Norfolk,1
North Branford,8
North Canaan,1
North Haven,15
North Stonington,0
Norwalk,435
Norwich,3
Old Lyme,3
Old Saybrook,5
Orange,8
Oxford,18
Plainfield,1
Plainville,11
Plymouth,3
Pomfret,3
Portland,6
Preston,1
Prospect,11
Putnam,0
Redding,20
Ridgefield,88
Rocky Hill,26
Roxbury,3
Salem,0
Salisbury,3
Scotland,0
Seymour,20
Sharon,6
Shelton,78
Sherman,6
Simsbury,9
Somers,7
South Windsor,15
Southbury,19
Southington,33
Sprague,0
Stafford,21
Stamford,589
Sterling,0
Stonington,3
Stratford,49
Suffield,19
Thomaston,10
Thompson,1
Tolland,10
Torrington,30
Trumbull,29
Union,0
Vernon,15
Voluntown,1
Wallingford,24
Warren,0
Washington,8
Waterbury,160
Waterford,1
Watertown,14
West Hartford,36
West Haven,62
Westbrook,3
Weston,32
Westport,134
Wethersfield,25
Willington,2
Wilton,71
Winchester,3
Windham,6
Windsor,37
Windsor Locks,6
Wolcott,11
Woodbridge,6
Woodbury,9
Woodstock,7
